name,url,price,rating,num_reviews,description,asin,product_description,manufacturer
,https://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=hOzty&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=MQSFP8GXD0P3NV04X909&pd_rd_wg=GH59W&pd_rd_r=ca408d95-fdfb-4157-adf8-1f2c6f761e60&qid=1688574013,,,,,,,
,,,,,,,,
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,"₹1,199",4.0 out of 5 stars,"55,172",,,,
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_1_2917444031_1,₹599,4.1 out of 5 stars,"4,987",,,,
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_2_1984997031_1,₹849,4.3 out of 5 stars,"5,376",,,,
,https://www.amazon.in/s/ref=sxin_15_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=mEMWz&content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb:amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=MQSFP8GXD0P3NV04X909&pd_rd_wg=QO8uK&pd_rd_r=6c7361fe-f7fa-452d-afc2-b3ed391ba3c9&qid=1688574013,₹709,4.2 out of 5 stars,Amazon’s private and select curated brands,,,,
,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,₹709,4.2 out of 5 stars,600,,,,
,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,₹310,4.2 out of 5 stars,63,,,,
,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK?rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,₹329,4.3 out of 5 stars,"29,824",,,,
,https://www.amazon.in/gp/bestsellers/kitchen/ref=sr_bs_3_kitchen_1,₹319,4.3 out of 5 stars,"32,978",,,,
,https://www.amazon.in/Amazon-Brand-Solimo-Cricket-Kit/dp/B08J8HQ3MD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,₹849,4.3 out of 5 stars,60,,,,
,https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_5_1389022031_1,₹805,4.4 out of 5 stars,303,,,,
,https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,₹699,4.2 out of 5 stars,149,,,,
,https://www.amazon.in/AmazonBasics-T1913-5-20-Inch-Carry-on-Orange/dp/B07P6PF6SP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"₹4,230",4.5 out of 5 stars,102,,,,
,,,,,,,,
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,₹550,4.3 out of 5 stars,"11,531",,,,
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_4_1375464031_1,"₹1,299",4.3 out of 5 stars,408,,,,
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,₹649,3.9 out of 5 stars,"16,364",,,,
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,"₹1,085",4.4 out of 5 stars,"5,795",,,,
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,₹499,3.9 out of 5 stars,956,,,,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,₹679,4.0 out of 5 stars,"4,626",,,,
,,,,,,,,
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,₹988,4.4 out of 5 stars,"5,850",,,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,₹849,3.9 out of 5 stars,"3,065",,,,
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,₹248,4.0 out of 5 stars,"19,748",,,,
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"₹1,399",4.3 out of 5 stars,418,"Care Instructions: Hand Wash Only    Well Organized compartment ,Security Back Pocket",,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",Brand: American Tourister
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,https://www.amazon.in/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z,"₹2,844",4.3 out of 5 stars,"1,661",,,,
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,₹689,3.8 out of 5 stars,"2,205",,,,
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,₹571,4.3 out of 5 stars,"3,456",,,,
,https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=hQIq5&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=MQSFP8GXD0P3NV04X909&pd_rd_wg=5GyLo&pd_rd_r=3c763205-fac3-4ed4-80bc-ebab80d625f3&qid=1688574013,,,bags for girls,,,,
,,,,,,,,
,https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,,,or,,,,
